	RAW_shC_LPS_5hr_S2_L008_R1_001	RAW_sh2_GIV_LPS_5hr_S6_L008_R1_001	RAW_sh1_GIV_LPS_5hr_S4_L008_R1_001
ENSMUSG00000000001.4	10306.7546345898	10333.7822063036	11326.1530094234
ENSMUSG00000000003.15	0	0	0
ENSMUSG00000000028.15	964.078052060199	1133.99404769463	965.767994285532
ENSMUSG00000000031.16	0	0	0
ENSMUSG00000000037.17	0	0	0
ENSMUSG00000000049.11	0	0	0
ENSMUSG00000000056.7	301.42633857827	547.743338887054	276.643361453156
ENSMUSG00000000058.6	34.2930486885789	57.0693654895268	20.0778451652098
ENSMUSG00000000078.7	11945.5862112563	10785.4687711032	11403.7908009458
ENSMUSG00000000085.16	486.475986597031	696.552205043617	609.571895010395
ENSMUSG00000000088.7	5612.78627084794	4069.52467499857	5153.01149489061
ENSMUSG00000000093.6	0	0	0
ENSMUSG00000000094.12	0	0	0
ENSMUSG00000000103.12	0	0	0
ENSMUSG00000000120.6	0	0	0
ENSMUSG00000000125.5	0	0	0
ENSMUSG00000000126.11	0	0	0
ENSMUSG00000000127.15	582.357113414521	752.268526204204	571.18587649842
ENSMUSG00000000131.15	8133.56613775958	5985.95067496471	7381.24640013422
ENSMUSG00000000134.17	6342.74408248086	6008.42399733247	5898.90530993429
ENSMUSG00000000142.15	0	0	0
ENSMUSG00000000148.17	499.984674047269	545.780839110423	445.602625005927
ENSMUSG00000000149.10	996.276212433171	982.382059891062	885.55313676067
ENSMUSG00000000154.16	1.29229887833234	1.39228951897155	0
ENSMUSG00000000157.16	0	0	0
ENSMUSG00000000159.16	0	0	0
ENSMUSG00000000167.14	46.3965139903518	72.14970683945	64.7678361259162
ENSMUSG00000000168.9	4100.85065702576	4107.78921468323	3978.56829693953
ENSMUSG00000000171.5	6371.49131385581	6768.5833884595	6231.98995656359
ENSMUSG00000000182.9	0	0	0
ENSMUSG00000000183.6	1.86621201074014	0	3.32835362405788
ENSMUSG00000000184.12	329.124899429248	1213.95560876129	2863.98826525443
ENSMUSG00000000194.13	3151.22556246593	2707.29384482721	3051.48280851819
ENSMUSG00000000197.8	0	0	1.11157168238926
ENSMUSG00000000202.9	0	0	0
ENSMUSG00000000204.16	340801.312072393	244524.154493182	266408.935773467
ENSMUSG00000000214.11	0	0	0
ENSMUSG00000000215.11	0	0	0
ENSMUSG00000000216.8	0	0	0
ENSMUSG00000000223.13	9.98398047383622	20.336578279051	26.5957446228645
ENSMUSG00000000244.17	2.80064267655887	4.79583577230179	3.35035254510412
ENSMUSG00000000247.11	15.1634144234061	15.6828657570136	16.0845535116603
ENSMUSG00000000248.16	0	0	0
